"APC paid (actual currency) including VAT if charged","APC paid (£) including VAT (calculated)","APC paid (£) including VAT if charged","Currency of APC",DOI,"Date of APC payment","Date of initial application by author",ISSN0,Institution,Journal,Licence,"PubMed Central (PMC) ID","PubMed ID",Publisher,"TCO year","Type of publication",Drop?,"Year of publication","Article title"
"",240,240,GBP,"",2017-01-10,2017-01-10,"","University of Liverpool","Environment Planning A","CC BY","","","SAGE Publications",2016,"",0,"","The neoliberalisation of climate? Progressing climate policy under austerity urbanism"
"",240,240,"","","","",1754-0739,"University of Oxford","Emotion Review","","","","SAGE Publications",2016,"",0,"","Comment: Respecifying emotional influence"
"",180.11,180.11,"","",2016-10-23,2016-09-13,"","King's College London","AERA Open","","","","SAGE Publications",2016,"",0,"","Non-Shared Environmental Influences on Academic Achievement at Age 16:  A Qualitative Hypothesis-Generating Monozygotic Twin Differences Study"
225,144,144,USD,"",2016-11-15,2016-04-18,"",UCL,"Frontiers in Neural Circuits","","","","Frontiers Media SA",2016,"Journal Article/Review",0,"","Controllable pulse parameter TMS and TMS-EEG as novel approaches to improve neural targeting with rTMS in human cerebral cortex"
103.2,91.98,91.98,EUR,"",2016-11-09,2016-08-10,"",UCL,"Annals of Medicine & Surgery","","","","Elsevier BV",2016,"Journal Article/Review",0,"","Winning Abstracts of the National Undergraduate Surgical Conference 2016"
"",91.8,91.8,"","",2016-10-28,"","","University of Sheffield","Journal of Medical Internet Research","","","","Journal of Medical Internet Research",2016,"",0,"","Persuasive technology to increase physical activity in people with COPD: A mixed methods study"
0,0,0,GBP,"",2016-11-23,2016-11-18,1097-0118,"Durham University","Journal of Graph Theory","","","",Wiley-Blackwell,2016,"Journal Article/Review",0,"","Bounding the Clique-Width of $H$-free Chordal Graphs"
"",0,0,"","",2016-10-11,2016-10-11,"","King's College London","Eur. Phys. J. Special Topics ","","","","Springer Nature",2016,"",0,"","Two different flavours of complexity in financial data"
"",0,0,"","",2016-11-29,2016-11-29,"","King's College London","Theoretical Medicine and Bioethics","","","","Springer Nature",2016,"",0,"","Thinking ethical and regulatory frameworks in medicine from the perspective of solidarity on both sides of the Atlantic"
4206.096,0,0,USD,"",2016-02-01,2015-12-29,2211-1247,"Queen Mary, University of London","Cell Reports","","","","Elsevier BV",2016,"Journal Article/Review",0,2016,"Knockout of the PKN family of Rho effector kinases reveals a non-redundant role for PKN2 in developmental mesoderm expansion"
0,0,0,USD,"",2016-12-06,2016-10-10,"","Queen Mary, University of London","BMC Medicine","CC BY","","","Springer Nature",2016,"Journal Article/Review",0,2016,"What works for whom in pharmacist led smoking cessation support: realist review"
0,0,0,GBP,"",2016-08-12,2016-08-12,1951-6401,"University of Exeter","The European Physical Journal Special Topics","","","","Springer Nature",2016,"Journal Article/Review",0,"","Effects of time-delay in a model of intra- and inter-personal motor coordination "
"",0,0,"","","",2016-01-15,0377-9017,"University of Glasgow","Letters in Mathematical Physics","","","","Springer Nature",2016,"Journal Article/Review",0,2016,"Frobenius manifolds and Frobenius algebra-valued integrable systems"
"",0,0,"","","",2016-01-21,2082-7539,"University of Glasgow",Peitho,"","","","",2016,"Journal Article/Review",0,2015,"An overview of digital feminist scholarship (2005-2014): Methods and methodologies"
"",0,0,"","","",2016-01-27,2052-9538,"University of Glasgow","BMC Obesity","CC BY","","",BMJ,2016,"Journal Article/Review",0,2015,"A qualitative study exploring why adults with intellectual disabilities and obesity want to lose weight and views of their carers"
"",0,0,"","","",2016-01-28,0232-3869,"University of Glasgow","Technische Mechanik","","","","Magdeburger Verein fÃ¼r Technische Mechanik e.V. ; Otto-von-Guericke-University Magdeburg",2016,"Journal Article/Review",0,2016,"Computational and theoretical aspects of a grain-boundary model at finite deformations"
"",0,0,"","","",2016-02-09,1860-5974,"University of Glasgow","Logical Methods in Computer Science","CC BY-NC-ND","","","International Federation of Computational Logic",2016,"Journal Article/Review",0,2015,"Modular session types for objects"
"",0,0,"","","",2016-02-12,"","University of Glasgow","","","","","",2016,"Conference Paper/Proceeding/Abstract",0,2015,"BornÃ© de CramÃ©r-Rao sous contraintes pour lâ€™estimation simultanÃ©e de paramÃ¨tres alÃ©atoires et non alÃ©atoires"
"",0,0,"","","",2016-02-15,0719-5680,"University of Glasgow","Derecho y critica social","","","","",2016,"Journal Article/Review",0,2015,"Constitucionalismo politico y el valor de la toma de decisiones constitucionales"
"",0,0,"","","",2016-02-23,"","University of Glasgow","","","","","",2016,"Conference Paper/Proceeding/Abstract",0,2016,"Preference Elicitation in Matching Markets Via Interviews: A Study of Offline Benchmarks"
"",0,0,"","","",2016-03-11,2375-2831,"University of Glasgow","International Law Studies","","","","Stockton Center for the Study of International Law",2016,"Journal Article/Review",0,2015,"Russiaâ€™s annexation of Crimea: The mills of international law grind slowly but they do grind"
"",0,0,"","","",2016-03-17,1839-7816,"University of Glasgow","New Male Studies","","","","Australian Institute of Male Health and Studies",2016,"Journal Article/Review",0,2015,"British male students continue to fall behind in secondary education"
"",0,0,"","","",2016-03-17,0098-6283,"University of Glasgow","Teaching of Psychology","","","","SAGE Publications",2016,"Journal Article/Review",0,2016,"PsyToolkit: A novel web-based method for running online questionnaires and reaction-time experiments"
"",0,0,"","","",2016-04-20,1890-3991,"University of Glasgow","Etikk i praksis - Nordic Journal of Applied Ethics","CC BY","","","Programme for Applied Ethics, Department of Philosophy and Religious Studies, NTNU 7491, Trondheim, Norway",2016,"Journal Article/Review",0,2016,"Defining the public domain in economic terms â€“ approaches and consequences for policy"
"",0,0,"","","",2016-04-29,2373-6089,"University of Glasgow","Current Issues in Emerging eLearning","CC BY-NC-ND","","","University Massachusetts Boston",2016,"Journal Article/Review",0,2016,"What is it like to learn and participate in rhizomatic MOOCs? a collaborative autoethnography of #RHIZO14"
"",0,0,"","","",2016-04-29,2373-6089,"University of Glasgow","Current Issues in Emerging eLearning","CC BY-NC-ND","","","University Massachusetts Boston",2016,"Journal Article/Review",0,2016,"How the community became more than the curriculum: participant experiences in #RHIZO14"
"",0,0,"","","",2016-05-02,1492-9732,"University of Glasgow","ACME: An International E-Journal for Critical Geographies","CC BY-NC-ND","","","University of British Columbia, Okanagan",2016,"Journal Article/Review",0,2015,"Inner-suburban neighbourhoods, activist research and the social space of the commercial street"
"",0,0,"","","",2016-05-09,1438-5627,"University of Glasgow","Forum: Qualitative Social Research","CC BY","","","Institut fÃ¼r Qualitative Forschung",2016,"Journal Article/Review",0,2016,"Opportunities and challenges of unplanned follow-up interviews: experiences with Polish migrants in London"
"",0,0,"","","",2016-05-09,"","University of Glasgow","","","","","",2016,"Conference Paper/Proceeding/Abstract",0,2016,"Heuristics and Really Hard Instances for Subgraph Isomorphism Problems"
"",0,0,"","","",2016-06-02,"","University of Glasgow",Conversation,"CC BY-ND","","","The Conversation Trust",2016,"Journal Article/Review",0,2016,"How to capture an asteroid â€“ and why we should go to such trouble"
"",0,0,"","","",2016-06-08,1470-5931,"University of Glasgow","Marketing Theory","","","","SAGE Publications",2016,"Journal Article/Review",0,2016,"Marketing and compromising for sustainability: green chemistry, regulation and competing orders of worth in the North Atlantic"
"",0,0,"","","",2016-06-15,1931-7603,"University of Glasgow","Herpetological Conservation and Biology","","","","Herpetological Conservation and Biology",2016,"Journal Article/Review",0,2016,"A first test of the thread bobbin tracking technique as a method for studying the ecology of herpetofauna in a tropical rainforest"
"",0,0,"","","",2016-06-16,"","University of Glasgow",Conversation,"CC BY-NC-ND","","","The Conversation",2016,"Journal Article/Review",0,2016,"Gravitational waves found again: hereâ€™s how they could whisper the universeâ€™sÂ secrets"
"",0,0,"","","",2016-06-29,0959-3535,"University of Glasgow","Feminism and Psychology","","","","SAGE Publications",2016,"Journal Article/Review",0,2016,"Womenâ€™s embodied experiences of second trimester medical abortion"
"",0,0,"","","",2016-06-30,1478-9299,"University of Glasgow","Political Studies Review","","","","SAGE Publications",2016,"Journal Article/Review",0,2016,"The (ontological) politics in depoliticisation debates: three lenses on the decline of the political"
"",0,0,"","","",2016-06-30,0141-9889,"University of Glasgow","Sociology of Health and Illness","","","",Wiley-Blackwell,2016,"Journal Article/Review",0,2016,"Public challenge and endorsement of sex category ambiguity in online debate: â€œThe sooner people stop thinking that gender is a matter of choice the betterâ€"
"",0,0,"","","",2016-07-07,0966-8136,"University of Glasgow","Europe-Asia Studies","","","","Informa UK Limited",2016,"Journal Article/Review",0,2016,"Predictors of support for state for state social welfare provision  in Russia and China"
"",0,0,"","","",2016-07-22,0308-518X,"University of Glasgow","Environment and Planning A","","","","SAGE Publications",2016,"Journal Article/Review",0,2016,"Delivering lower carbon urban transport choices: European ambition meets the reality of institutional (mis)alignment"
"",0,0,"","","",2016-07-22,0273-8139,"University of Glasgow","Pharmaceutical Engineering","","","",ISPE,2016,"Journal Article/Review",0,2016,"Patient perceptions of IMPs: an international perspective"
"",0,0,"","","",2016-07-25,1476-5888,"University of Glasgow","Open Democracy","CC BY-NC","","",OpenDemocracy,2016,"Journal Article/Review",0,2016,"Is Britain's media biased against the left?"
"",0,0,"","","",2016-07-26,2167-4833,"University of Glasgow","Current Physical Medicine and Rehabilitation Reports","","","","Springer Nature",2016,"Journal Article/Review",0,2016,"Vagus nerve stimulation and upper limb rehabilitation"
"",0,0,"","","",2016-08-05,1474-6190,"University of Glasgow",Drouth,"","","","The Drouth",2016,"Journal Article/Review",1,2016,Editorial
"",0,0,"","","",2016-08-05,1474-6190,"University of Glasgow",Drouth,"","","","The Drouth",2016,"Journal Article/Review",0,2016,"Displaying the contemporary: the revolution cannot take its cinema from the past but only from the future"
"",0,0,"","","",2016-08-10,"","University of Glasgow","","","","","",2016,"Conference Paper/Proceeding/Abstract",0,2016,"Randomised Enumeration of Small Witnesses Using a Decision Oracle"
"",0,0,"","","",2016-08-11,1103-3088,"University of Glasgow","Young: The Nordic Journal of Youth Research","","","","SAGE Publications",2016,"Journal Article/Review",0,2016,"City as lens: (re)imagining youth in Glasgow and Hong Kong"
"",0,0,"","","",2016-08-11,0211-2159,"University of Glasgow","PsicolÃ³gica","","","","Universitat de Valencia",2016,"Journal Article/Review",0,2016,"A discussion of alternatives for establishing empirical benchmarks for interpreting single-case effect sizes"
"",0,0,"","","",2016-08-11,1782-348X,"University of Glasgow","Constructivist Foundations","CC BY","","","University of Vienna",2016,"Journal Article/Review",0,2016,"Truthful acting emerges through forward model development"
"",0,0,"","","",2016-08-11,1756-8293,"University of Glasgow","International Journal of Micro Air Vehicles","","","","SAGE Publications",2016,"Journal Article/Review",0,2016,"A CFD based procedure for airspace integration of small unmanned aircraft within congested areas"
"",0,0,"","","",2016-08-12,1824-8039,"University of Glasgow","Proceedings of Science","CC BY-NC-SA","","","",2016,"Journal Article/Review",0,2015,"Final results from the IDS-NF study"
"",0,0,"","","",2016-08-16,0170-8406,"University of Glasgow","Organization Studies","","","","SAGE Publications",2016,"Journal Article/Review",0,2016,"Being an early-career CMS academic in the context of insecurity and â€˜excellenceâ€™: the dialectics of resistance and compliance"
"",0,0,"","","",2016-08-16,"","University of Glasgow",Conversation,"CC BY-ND","","","The Conversation Trust",2016,"Journal Article/Review",0,2016,"Brexit: the view from EasternÂ Europe"
"",0,0,"","","",2016-08-16,"","University of Glasgow","EGO: European History Online","CC BY-NC-ND","","","Universities of Trier and Mainz",2016,"Journal Article/Review",0,2016,"Alliances and treaties: co-operation in war and peace"
"",0,0,"","","",2016-08-22,"","University of Glasgow",Conversation,"CC BY-ND","","","The Conversation Trust",2016,"Journal Article/Review",0,2016,"Inside the pages of the oldest comic in the World"
"",0,0,"","","",2016-08-22,"","University of Glasgow",Conversation,"CC BY-ND","","","The Conversation Trust",2016,"Journal Article/Review",0,2015,"Instagram had a Medieval equivalentâ€”and itâ€™s making a comeback"
"",0,0,"","","",2016-09-02,1434-6060,"University of Glasgow","European Physical Journal D","","","","EDP Sciences",2016,"Journal Article/Review",0,2016,"The information of high-dimensional time-bin encoded photons"
"",0,0,"","","",2016-09-06,0094-243X,"University of Glasgow","AIP Conference Proceedings","","","","AIP Publishing",2016,"Journal Article/Review",0,2016,"Scalable Solar Thermoelectrics and Photovoltaics (SUNTRAP)"
"",0,0,"","","",2016-09-07,"","University of Glasgow",Conversation,"CC BY-ND","","","The Conversation Trust",2016,"Journal Article/Review",0,2016,"The cynical thinking behind Hungaryâ€™s bizarre referendum"
"",0,0,"","","",2016-09-08,0094-243X,"University of Glasgow","AIP Conference Proceedings","","","","AIP Publishing",2016,"Journal Article/Review",0,2016,"Indoor characterization of a reflective type 3D LCPV system"
