"Year","Institution - Abbrv","Instsitution","ArticleTitle","JournalTitle","ISSN","NSD Level","DOI","APC in NOK"
2015,"UiT","University of Tromsø - The Arctic University of Norway","Mobile videoconferencing for enhanced emergency medical communication - a shot in the dark or a walk in the park? -- A simulation study","Scandinavian Journal of Trauma, reSuscitation and emergency medicine","1757-7241",1,"http://dx.doi.org/10.1186/1757-7241-22-35",12632.78
2015,"UiT","University of Tromsø - The Arctic University of Norway","Continuity of GP care is associated with lower use of complementary and alternative medical providers: a population-based cross-sectional survey","BMC Health Services Research","1472-6963",2,"http://dx.doi.org/10.1186/s12913-014-0629-7",14125.30
2015,"UiT","University of Tromsø - The Arctic University of Norway","Genetic inactivation of European sea bass (Dicentrarchus labrax L.) eggs using UV-irradiation: observations and perspectives","PLoS ONE","1932-6203",1,"http://dx.doi.org/10.1371/journal.pone.0109572",10337.29
2015,"UiT","University of Tromsø - The Arctic University of Norway","Adolescent health and adaptation in Canada: Examination of gender and age aspects of the  healthy immigrant effect.","International Journal for Equity in Health","1475-9276",1,"http://dx.doi.org/10.1186/s12939-014-0103-5",13005.94
2015,"UiT","University of Tromsø - The Arctic University of Norway","Functional Recovery is considered the most important target; a survey of dedicated proffesionals","Perioperative Medicine","2047-0525",1,"http://dx.doi.org/10.1186/2047-0525-3-5",15611.24
2015,"UiT","University of Tromsø - The Arctic University of Norway"," Suicides in the indigenous and non-indigenous populations in the Nenets Autonomous Okrug, Northwestern Russia, and associated socio-demographic characteristics","International Journal of Circumpolar Health","1239-9736",1,"http://dx.doi.org/10.3402/ijch.v73.24308",5125.88
2015,"UiT","University of Tromsø - The Arctic University of Norway","Soy isoflavone intake and the likelihood of ever International becoming a mother. The Adventist Health Study-2","Journal of Women's Health","1179-1411",1,"http://dx.doi.org/10.2147/IJWH.S57137",14866.86
2015,"UiT","University of Tromsø - The Arctic University of Norway","Response-Retrieval in Negative Priming is Modulated by Temporal Discriminability","Frontiers in Psychology","1664-1078",1,"http://dx.doi.org/10.3389/fpsyg.2014.00621",16215.40
2015,"UiT","University of Tromsø - The Arctic University of Norway","Protein Surface Softness is the Origin of Enzyme Cold-Adaptation","PLOS Computational Biology","1553-734X",2,"http://dx.doi.org/10.1371/journal.pcbi.1003813",17313.49
2015,"UiT","University of Tromsø - The Arctic University of Norway","Measuring hedonia and eudaimonia as motives for activities: Cross-national investigation through traditional and Bayesian structural equation modeling","Frontiers in Psychology","1664-1078",1,"http://dx.doi.org/10.3389/fpsyg.2014.00984",10098.48
2015,"UiT","University of Tromsø - The Arctic University of Norway","Characterisation and prognostic value of tertiary lymphoid organs in oral squamous cell carcinoma","BMC Clinical pathology","1472-6890",1,"http://dx.doi.org/10.1186/1472-6890-14-38",14125.30
2015,"UiT","University of Tromsø - The Arctic University of Norway","The predictive effect of body mass index on type 2 diabetes in the Norwegian Women and Cancer ","Lipids in Health and Disease","1476-511X",1,"http://dx.doi.org/10.1186/1476-511X-13-164",14125.30
2015,"UiT","University of Tromsø - The Arctic University of Norway","Associations between Primary Health Care and Unplanned Medical Admissions in Norway. A multilevel analysis of the entire elderly population","BMJ Open","2044-6055",1,"http://dx.doi.org/10.1136/bmjopen-2013-004293",17236.71
2015,"UiT","University of Tromsø - The Arctic University of Norway","Predictors of ICS/LABA prescribing in COPD patients: A study from general practice","BMC Family Practice","1471-2296",1,"http://dx.doi.org/10.1186/1471-2296-15-42",16541.83
2015,"UiT","University of Tromsø - The Arctic University of Norway","Monochromatic light increases anthocyanin content during fruit development in bilberry","BMC Plant Biology","1471-2229",1,"http://dx.doi.org/10.1186/s12870-014-0377-1",14125.30
2015,"UiT","University of Tromsø - The Arctic University of Norway","Tumour microenvironments induce expression of urokinase plasminogen activator receptor (uPAR) and concomitant activation of gelatinolytic enzymes","PLoS ONE","1932-6203",1,"http://dx.doi.org/10.1371/journal.pone.0105929",10507.56
2015,"UiT","University of Tromsø - The Arctic University of Norway","Resilient Communities? Collapse and Recovery of a Social-Ecological System in Arctic Norway","Ecology & society","1708-3087",1,"http://dx.doi.org/10.5751/ES-06533-190301",9701.06
2015,"UiT","University of Tromsø - The Arctic University of Norway","Role of respondents' education as a mediator and moderator in the association between childhood socio-economic status and later health and wellbeing","BMC Public Health","1471-2458",1,"http://dx.doi.org/10.1186/1471-2458-14-1172",14125.30
2015,"UiT","University of Tromsø - The Arctic University of Norway","Early pregnancy body mass index and spontaneous preterm birth in Northwest Russia: a registry-based study","BMC Pregnancy and Childbirth","1471-2393",1,"http://dx.doi.org/10.1186/1471-2393-14-303",14125.30
2015,"UiT","University of Tromsø - The Arctic University of Norway","A high-throughput, restriction-free cloning and screening strategy based on ccdB-gene replacement","Microbial Cell Factories","1475-2859",1,"http://dx.doi.org/10.1186/1475-2859-13-38",10903.95
2015,"UiT","University of Tromsø - The Arctic University of Norway","Improving the accuracy of expression data analysis in time course experiments using sample re-randomization","BMC Bioinformatics ","1471-2105",2,"http://dx.doi.org/10.1186/s12859-014-0352-8",14125.30
2015,"UiT","University of Tromsø - The Arctic University of Norway","Coronary flow reserve in pregnant rats with increased left ventricular afterload","PLoS ONE","1932-6203",1,"http://dx.doi.org/10.1371/journal.pone.0102147",10072.52
2015,"UiT","University of Tromsø - The Arctic University of Norway","The clinical case report: A review of its merits and limitations","BMC Research Notes","1756-0500",1,"http://dx.doi.org/10.1186/1756-0500-7-264",6989.71
2015,"UiT","University of Tromsø - The Arctic University of Norway","Implementing new routines in adult mental health  care to identify and support children of mentally ill parents.","BMC Health Services Research","1472-6963",2,"http://dx.doi.org/10.1186/1472-6963-14-58",16833.75
2015,"UiT","University of Tromsø - The Arctic University of Norway","The VEGF- and PDGF-family of Angiogenic Markers Have Prognostic Impact in Soft Tissue Sarcomas Arising in the Extremities and Trunk","BMC Clinical Pathology ","1472-6890",1,"http://dx.doi.org/10.1186/1472-6890-14-5",12022.30
2015,"UiT","University of Tromsø - The Arctic University of Norway","Giving cell phones to pregnant women and improving services may increase primary health facility utilization: A case-control study of a Nigerian project","Reproductive Health","1742-4755",1,"http://dx.doi.org/10.1186/1742-4755-11-8",14173.75
2015,"UiT","University of Tromsø - The Arctic University of Norway","Multilocus sequence typing and ftsI sequencing: a powerful tool for surveillance of penicillin-binding protein 3-mediated beta-lactam resistance in nontypeable Haemophilus influenzae","BMC Microbiology","1471-2180",1,"http://dx.doi.org/10.1186/1471-2180-14-131",13608.48
2015,"UiT","University of Tromsø - The Arctic University of Norway","The history of the case report: a selective review","JRSM Open","2054-2704",1,"http://dx.doi.org/10.1177/2054270414523410",5854.58
2015,"UiT","University of Tromsø - The Arctic University of Norway","Local psychiatric beds appear to decrease the use of involuntary admission","BMC Health Services Research","1472-6963",2,"http://dx.doi.org/10.1186/1472-6963-14-64",16382.50
2015,"UiT","University of Tromsø - The Arctic University of Norway","Local Empowerment Through the Creation of Coastal Space?","Ecology and Society","1708-3087",1,"http://dx.doi.org/10.5751/ES-06465-190260",7307.99
2015,"UiT","University of Tromsø - The Arctic University of Norway","Early intervention program reduces stress in parents of pre-terms during childhood; a randomized controlled trial.","Trials","1745-6215",1,"http://dx.doi.org/10.1186/1745-6215-15-387",12472.91
2015,"UiT","University of Tromsø - The Arctic University of Norway","Prognostic value of the microRNA regulators Dicer and Drosha in Non-Small Cell Lung Cancer. Co-expression of Drosha and miR-126 predicts poor suival.","BMC Clinical Pathology ","1472-6890",1,"http://dx.doi.org/10.1186/1472-6890-14-45",14125.30
2015,"UiT","University of Tromsø - The Arctic University of Norway","Cellulase activity screening using pure carboxymethylcellulose: Application to soluble cellulolytic samples and to plant tissue prints.","International Journal of Molecular Sciences ","1422-0067",1,"http://dx.doi.org/10.3390/ijms15010830",13911.11
2015,"UiT","University of Tromsø - The Arctic University of Norway","Effect of passive leg raising on systemic haemodynamics of pregnant women: A dynamic assessment of maternal cardiovascular function at 22-24 weeks of gestation","PLOS ONE","1932-6203",1,"http://dx.doi.org/10.1371/journal.pone.0094629",10058.51
2016,"Uni Research","Uni Research","Perceived food intolerance and irritable bowel syndrome in a population 3 years after a giardiasis-outbreak: a historical cohort study","BMC Gastroenterology","1471-230X",1,"10.1186/s12876-015-0393-0",15512.31
2016,"Uni Research","Uni Research","Physicians' use of pain scale and treatment procedures among children and youth in emergency primary care - a cross sectional study","BMC Emergency medicine","1471-227X",1,"10.1186/s12873-015-0059-9",15460.56
2016,"Uni Research","Uni Research","Dealing with workplace violence in emergency primary health care: a focus group study","BMC Family Practice","1471-2296",1,"10.1186/s12875-015-0276-z",13357.65
2016,"Uni Research","Uni Research","The relationship between irritable bowel syndrome, functional dyspepsia, chronic fatigue and overactive bladder syndrome: a controlled study 6 years after acute gastrointestinal infection","BMC Gastroenterology","1471-230X",1,"10.1186/s12876-015-0296-0",14230.00
2016,"Uni Research","Uni Research","Point-of-care testing with CRP in primary care: a registry-based observational study from Norway","BMC Family Practice","1471-2296",1,"10.1186/s12875-015-0385-8",15501.90
2016,"Uni Research","Uni Research","Diarrhea, Stimulation and Growth Predict Neurodevelopment in Young North Indian Children","PLoS ONE","1932-6203",1,"10.1371/journal.pone.0121743",10303.13
2016,"Uni Research","Uni Research","Identifying added value in high-resolution climate simulations over Scandinavia","Tellus (Series A Dynamic Meteorology and Oceanography)","1600-0870",2,"http://dx.doi.org/10.3402/tellusa.v67.24941",11634.95
2016,"Uni Research","Uni Research","Links between surface productivity and deep ocean particle flux at
the Porcupine Abyssal Plain sustained observatory","Biogeoscience (Copernicus)","1726-4170",1,"doi:10.5194/bg-12-5885-2015",8079.93
2016,"Uni Research","Uni Research","Numerical Simulations of the 1 May 2012 Deep Convection Event over Cuba: Sensitivity to Cumulus and Microphysical Schemes in a High-Resolution Model","Advances in Meteorology  (Hindawi Publishing Corportation) ","1687-9309",1,"http://dx.doi.org/10.1155/2015/973151",12232.50
2016,"Uni Research","Uni Research","Early Pliocene onset of modern Nordic Seas circulation related to ocean gateway changes","Nature Communications (Nature Publishing Group)","2041-1723",2,"http://dx.doi.org/10.1038/ncomms9659",34213.16
2016,"Uni Research","Uni Research","Specific metabolites in a Phaeodactylum tricornutum strain Isolated from Western Norwegian fjord water","Marine Drugs","1660-3397",1,"10.3390/md14010009",15899.04
2015,"Uni Research","Uni Research","Management of chest pain: A prospective study from Norwegian out-of-hours primary care","BMC Family Practice","1471-2296",1,"10.1186/1471-2296-15-51",13176.00
